Id,Have,Base,Name,Sub Base,Ingredient,Ingredient Type,Amount,Units,Link
119,No,Cordial,Dead Grasshopper,Crème de Menthe,Cinnamon Schnapps,Cordial,1,Ounce,http://www.drinksmixer.com/cat/2406/
212,No,Cordial,Snicker Recipe,Frangelico,Crème de Cacao (Dark),Cordial,0.75,Ounce,http://www.drinksmixer.com/cat/2384/
121,No,Cordial,Drunken Elf,Crème de Menthe,Cinnamon Schnapps,Cordial,1.5,Ounce,http://www.drinksmixer.com/cat/2406/
122,No,Cordial,Drunken Elf,Crème de Menthe,Light Cream,Mixer,1,Ounce,http://www.drinksmixer.com/cat/2406/
123,No,Cordial,Drunken Elf,Crème de Menthe,Cinnamon Candies,Topping,10,Pieces,http://www.drinksmixer.com/cat/2406/
652,No,Vodka,Coffee Martini,Vodka,Crème de Cacao (Dark),Cordial,0.75,Ounce,https://advancedmixology.com/blogs/art-of-mixology/29-kahlua-drink-recipes-you-can-try-at-home
125,No,Cordial,Frozen Andes Mint,Crème de Menthe,Kahlua,Cordial,0.5,Ounce,http://www.drinksmixer.com/cat/2406/
684,No,Whisky,Midnight Over Tennessee,Jack Daniels,Crème de Cacao (Dark),Cordial,0.5,Ounce,https://www.diffordsguide.com/cocktails/recipe/2498/midnight-over-tennessee
127,No,Cordial,Frozen Andes Mint,Crème de Menthe,Baileys Liqueur,Cordial,0.5,Ounce,http://www.drinksmixer.com/cat/2406/
128,No,Cordial,Frozen Andes Mint,Crème de Menthe,Milk,Mixer,1.5,Ounce,http://www.drinksmixer.com/cat/2406/
129,No,Cordial,Frozen Andes Mint,Crème de Menthe,Ice Cream,Mixer,2,Scoops,http://www.drinksmixer.com/cat/2406/
22,No,Cognac,Chocolate Mint Alexander,Ansac,Crème de Cacao (White),Cordial,0.33,Ounce,https://www.diffordsguide.com/cocktails/recipe/4292/choc-mint-alexander
131,Yes,Cordial,Irish Pride,Crème de Menthe,Almond Liqueur,Cordial,3,Ounce,http://www.drinksmixer.com/cat/2406/
132,Yes,Cordial,Irish Pride,Crème de Menthe,Lemon Juice,Fruit,2,Ounce,http://www.drinksmixer.com/cat/2406/
117,No,Cordial,Dead Grasshopper,Crème de Menthe,Crème de Cacao (White),Cordial,1,Ounce,http://www.drinksmixer.com/cat/2406/
134,Yes,Cordial,Mexican Grasshopper,Crème de Menthe,Kahlua,Cordial,2,Ounce,http://www.drinksmixer.com/cat/2406/
135,Yes,Cordial,Mexican Grasshopper,Crème de Menthe,Light Cream,Mixer,2,Ounce,http://www.drinksmixer.com/cat/2406/
139,No,Cordial,Peppermint Cream,Crème de Menthe,Crème de Cacao (White),Cordial,0.75,Ounce,http://www.drinksmixer.com/cat/2406/
137,No,Cordial,Mint Highball,Crème de Menthe,Ginger Ale,Soda,4,Ounce,http://www.drinksmixer.com/cat/2406/
309,No,Gin,Fire Ice,Bombay,Crème de Cacao (White),Cordial,10,Milliliters,https://www.bombaysapphire.com/distillery/gin-cocktails/fire-ice/
339,No,Gin,Queen of Hearts,Bombay,Crème de Cacao (White),Cordial,15,Milliliters,https://www.bombaysapphire.com/distillery/gin-cocktails/queen-of-hearts/
140,No,Cordial,Peppermint Cream,Crème de Menthe,Frangelico Liqueur,Cordial,0.75,Ounce,http://www.drinksmixer.com/cat/2406/
141,No,Cordial,Peppermint Cream,Crème de Menthe,Baileys Liqueur,Cordial,0.75,Ounce,http://www.drinksmixer.com/cat/2406/
142,No,Cordial,Peppermint Cream,Crème de Menthe,Milk,Mixer,1,Ounce,http://www.drinksmixer.com/cat/2406/
